,training_losses,validation_losses,validation_score,validation_accuracy
0,0.6122283150037867,0.5462038620114327,0.6315439622811908,0.745328125
1,0.6011449781528113,0.5858951714038849,0.6390400210704765,0.71378125
2,0.5993327463171045,0.5569075716733932,0.6396166295107305,0.73265625
3,0.5979630547213352,0.53729637748003,0.6407306610573249,0.747375
4,0.5985521533096473,0.5891416040658951,0.6397574592373554,0.7096875
5,0.5977289092144299,0.5920843862295151,0.6401491130213921,0.71059375
6,0.5965847858420105,0.5633847155570983,0.639402858639124,0.723625
7,0.5973780519586152,0.5664924041032792,0.6410436595727323,0.728015625
8,0.5960008907898949,0.6016525042057037,0.6425935503374334,0.669140625
9,0.5972449089885219,0.5825537095069885,0.638802610046086,0.7164375
10,0.5956791164980134,0.566426819384098,0.6414844503961246,0.7164375000000001
11,0.5959288707926397,0.5604086049199104,0.6386406033856399,0.72309375
12,0.5970973362317863,0.5558195793628693,0.6427431082052847,0.7350156250000001
13,0.5964215802574748,0.545003445148468,0.6435707636890817,0.742421875
14,0.5955861410888147,0.5542384414672852,0.644966569958211,0.7223124999999999
