,training_losses,validation_losses,validation_score,validation_accuracy
0,0.4469042292004487,0.37081650966405866,0.7265809116367297,0.85940625
1,0.42416185732968353,0.3607066035866737,0.7383997859049143,0.863125
2,0.41504377119779035,0.3632765702009201,0.735935835924217,0.8625625000000001
3,0.40713905255552973,0.35552938160300257,0.73876334005382,0.86490625
4,0.39628762350189345,0.358558868676424,0.7374375273746954,0.8636406249999999
5,0.38205886905910613,0.3871510697603226,0.7277354206676325,0.8487343749999999
6,0.36628053516541353,0.4088011155724525,0.7246226711855198,0.8324843749999999
7,0.3463005255864557,0.394127560287714,0.7133113005089597,0.8495625
8,0.3237162224562336,0.41360828053951265,0.7212107925319426,0.830546875
9,0.30038287012916337,0.4312962512373924,0.7098477325885044,0.83159375
